analysis_start,analysis_end,trend_daily,trend_pred,confidence,forward_start,forward_end,real_trend,actionable,hit,skip_reason
2022-01-01,2022-01-31,SIDE,SIDE,30.0,2022-02-01,2022-02-28,UP,0,,SIDE
2022-02-01,2022-02-28,SIDE,SIDE,30.0,2022-03-01,2022-03-31,UP,0,,SIDE
2022-03-01,2022-03-31,SIDE,SIDE,30.0,2022-04-01,2022-04-30,DOWN,0,,SIDE
2022-04-01,2022-04-30,SIDE,SIDE,30.0,2022-05-01,2022-05-31,DOWN,0,,SIDE
2022-05-01,2022-05-31,SIDE,SIDE,30.0,2022-06-01,2022-06-30,DOWN,0,,SIDE
2022-06-01,2022-06-30,SIDE,SIDE,30.0,2022-07-01,2022-07-31,UP,0,,SIDE
2022-07-01,2022-07-31,SIDE,SIDE,30.0,2022-08-01,2022-08-31,DOWN,0,,SIDE
2022-08-01,2022-08-31,SIDE,SIDE,30.0,2022-09-01,2022-09-30,DOWN,0,,SIDE
2022-09-01,2022-09-30,SIDE,SIDE,30.0,2022-10-01,2022-10-31,UP,0,,SIDE
2022-10-01,2022-10-31,SIDE,SIDE,30.0,2022-11-01,2022-11-30,DOWN,0,,SIDE
2022-11-01,2022-11-30,SIDE,SIDE,30.0,2022-12-01,2022-12-31,DOWN,0,,SIDE
